"region","age","sex","2019"
"04 Södermanland county","12 years","women",1827.0
"04 Södermanland county","13 years","men",1874.0
"04 Södermanland county","13 years","women",1834.0
"04 Södermanland county","14 years","men",1832.5
"04 Södermanland county","14 years","women",1760.5
"04 Södermanland county","15 years","men",1915.0
"04 Södermanland county","15 years","women",1645.5
"04 Södermanland county","16 years","men",1837.5
"04 Södermanland county","16 years","women",1736.5
"04 Södermanland county","17 years","men",1818.0
"04 Södermanland county","17 years","women",1662.5
"04 Södermanland county","18 years","men",1758.0
"04 Södermanland county","18 years","women",1682.0
"04 Södermanland county","19 years","men",1828.5
"04 Södermanland county","19 years","women",1598.5
"04 Södermanland county","20 years","men",1799.0
"04 Södermanland county","20 years","women",1505.0
"04 Södermanland county","21 years","men",1625.5
"04 Södermanland county","21 years","women",1414.5
"04 Södermanland county","22 years","men",1525.5
"04 Södermanland county","22 years","women",1351.0
"04 Södermanland county","23 years","men",1567.5
"04 Södermanland county","23 years","women",1375.0
"04 Södermanland county","24 years","men",1641.0
"04 Södermanland county","24 years","women",1529.0
"04 Södermanland county","25 years","men",1693.5
"04 Södermanland county","25 years","women",1541.5
"04 Södermanland county","26 years","men",1776.5
"04 Södermanland county","26 years","women",1748.0
"04 Södermanland county","27 years","men",1870.0
"04 Södermanland county","27 years","women",1731.0
"04 Södermanland county","28 years","men",1992.5
"04 Södermanland county","28 years","women",1783.0
"04 Södermanland county","29 years","men",1979.0
"04 Södermanland county","29 years","women",1870.5
"04 Södermanland county","30 years","men",1931.0
"04 Södermanland county","30 years","women",1808.5
"04 Södermanland county","31 years","men",1859.0
"04 Södermanland county","31 years","women",1803.0
"04 Södermanland county","32 years","men",1705.0
"04 Södermanland county","32 years","women",1673.0
"04 Södermanland county","33 years","men",1774.0
"04 Södermanland county","33 years","women",1706.0
"04 Södermanland county","34 years","men",1748.0
"04 Södermanland county","34 years","women",1663.0
"04 Södermanland county","35 years","men",1784.5
"04 Södermanland county","35 years","women",1663.5
"04 Södermanland county","36 years","men",1609.5
"04 Södermanland county","36 years","women",1682.0
"04 Södermanland county","37 years","men",1629.0
"04 Södermanland county","37 years","women",1631.0
